(-34.0,-428.0,-453.0)
(-35.0,-426.0,-454.0)
(-36.0,-424.0,-455.0)
(-36.0,-425.0,-455.0)
(-34.0,-427.0,-454.0)
(-34.0,-427.0,-454.0)
(-35.0,-427.0,-455.0)
(-36.0,-423.0,-453.0)
(-36.0,-425.0,-454.0)
(-38.0,-426.0,-454.0)
(-35.0,-425.0,-454.0)
(-36.0,-428.0,-455.0)
(-36.0,-425.0,-457.0)
(-38.0,-427.0,-456.0)
(-35.0,-426.0,-455.0)
(-34.0,-423.0,-455.0)
(-34.0,-425.0,-454.0)
(-33.0,-427.0,-455.0)
(-36.0,-426.0,-458.0)
(-38.0,-426.0,-454.0)
(-36.0,-426.0,-454.0)
(-35.0,-424.0,-454.0)
(-34.0,-427.0,-456.0)
(-34.0,-425.0,-456.0)
(-34.0,-426.0,-455.0)
(-33.0,-426.0,-454.0)
(-32.0,-426.0,-456.0)
(-35.0,-426.0,-455.0)
(2241.0,642.0,1.0)
(-34.0,-426.0,-455.0)
(-32.0,-425.0,-457.0)
(-36.0,-426.0,-455.0)
(-37.0,-426.0,-455.0)
(-35.0,-427.0,-457.0)
(-34.0,-425.0,-453.0)
(-35.0,-426.0,-456.0)
(-36.0,-425.0,-457.0)
(-37.0,-425.0,-457.0)
(-35.0,-425.0,-456.0)
(-35.0,-427.0,-453.0)
(-34.0,-425.0,-456.0)
(-37.0,-427.0,-454.0)
(-34.0,-427.0,-454.0)
(-34.0,-425.0,-453.0)
(-37.0,-427.0,-454.0)
(-37.0,-425.0,-457.0)
(-33.0,-423.0,-454.0)
(-35.0,-424.0,-455.0)
(-36.0,-425.0,-453.0)
(-34.0,-429.0,-455.0)
(-35.0,-425.0,-456.0)
(258.0,1539.0,-32256.0)
(-34.0,-426.0,-456.0)
(-37.0,-428.0,-455.0)
(-35.0,-427.0,-455.0)
(-35.0,-425.0,-454.0)
(-35.0,-427.0,-453.0)
(-36.0,-426.0,-454.0)
(-37.0,-425.0,-452.0)
(-36.0,-425.0,-453.0)
(-36.0,-426.0,-454.0)
(-38.0,-426.0,-454.0)
(-34.0,-426.0,-456.0)
(-35.0,-427.0,-453.0)
(-34.0,-427.0,-457.0)
(-35.0,-425.0,-454.0)
(-33.0,-422.0,-455.0)
(-36.0,-424.0,-458.0)
(-35.0,-424.0,-454.0)
(-36.0,-424.0,-455.0)
(-36.0,-424.0,-458.0)
(-35.0,-426.0,-454.0)
(-37.0,-423.0,-454.0)
(-35.0,-425.0,-453.0)
(-37.0,-427.0,-458.0)
(-38.0,-428.0,-456.0)
(-34.0,-423.0,-454.0)
(-37.0,-428.0,-456.0)
(-37.0,-426.0,-455.0)
(-38.0,-426.0,-456.0)
(-37.0,-424.0,-455.0)
(-34.0,-426.0,-453.0)
(-36.0,-423.0,-455.0)
(-37.0,-425.0,-457.0)
(-35.0,-425.0,-455.0)
(-37.0,-425.0,-456.0)
(-36.0,-427.0,-457.0)
(-37.0,-425.0,-457.0)
(-34.0,-426.0,-455.0)
(-34.0,-425.0,-455.0)
(-38.0,-426.0,-456.0)
(-38.0,-424.0,-454.0)
(-36.0,-425.0,-456.0)
(-36.0,-426.0,-451.0)
(-36.0,-429.0,-456.0)
(-34.0,-426.0,-455.0)
(-37.0,-426.0,-454.0)
(-35.0,-426.0,-455.0)
(-36.0,-426.0,-456.0)
(-32.0,-427.0,-456.0)
(-36.0,-428.0,-454.0)
Stopping  CStoppingC
(-36.0,-425.0,-453.0)
C stoppedCstopped
